순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,경기도,하남시,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,1520751
2,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,1517752
3,경기도,고양시 덕양구,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,1126848
4,경기도,광명시,광명역,경기 광명시 광명역로 21-0,기타관광,교통시설,1001566
5,경기도,김포시,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,891677
6,경기도,남양주시,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,775281
7,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,758176
8,경기도,성남시 분당구,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,748992
9,제주특별자치도,제주시,제주국제공항,제주 제주시 공항로 2-0,기타관광,교통시설,706070
10,경기도,용인시 처인구,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,698277
11,경기도,여주시,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,673568
12,강원특별자치도,속초시,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,667092
13,경기도,파주시,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,662619
14,서울특별시,영등포구,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,651699
15,경기도,용인시 기흥구,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,627229
16,인천광역시,연수구,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,617423
17,서울특별시,용산구,서울역,서울 용산구 한강대로 405-0,기타관광,교통시설,611327
18,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,605181
19,인천광역시,중구,인천국제공항제1여객터미널,인천 중구 공항로 272-0,기타관광,교통시설,590774
20,경기도,시흥시,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,573615
21,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,562585
22,경기도,안성시,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰,558166
23,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,534771
24,경기도,파주시,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,490800
25,서울특별시,강서구,김포국제공항,서울 강서구 하늘길 112-0,기타관광,교통시설,476718
26,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,456429
27,부산광역시,해운대구,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,452520
28,경기도,화성시,SRT동탄역,경기 화성시 동탄역로 지하 151-0,기타관광,교통시설,447179
29,충청북도,청주시 흥덕구,오송역,충북 청주시 흥덕구 오송가락로 123-0,기타관광,교통시설,440558
30,대구광역시,동구,동대구역,대구 동구 동대구로 550-0,기타관광,교통시설,438605
31,경기도,이천시,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,437303
32,부산광역시,기장군,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,433680
33,경기도,수원시 영통구,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,쇼핑,백화점,424594
34,대전광역시,동구,대전역,대전 동구 중앙로 215-0,기타관광,교통시설,422555
35,인천광역시,중구,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),421542
36,서울특별시,동작구,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,420915
37,부산광역시,강서구,김해공항국내선청사,부산 강서구 공항진입로 108-0,기타관광,교통시설,396289
38,인천광역시,중구,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,기타관광,교통시설,385439
39,대전광역시,유성구,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑,쇼핑몰,384586
40,인천광역시,중구,월미도,인천 중구,자연관광,자연경관(하천/해양),382384
41,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,379626
42,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,372105
43,충청남도,아산시,천안아산역,충남 아산시 희망로 100-0,기타관광,교통시설,371147
44,경기도,시흥시,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,368532
45,대구광역시,동구,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,363043
46,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,361313
47,경기도,용인시 수지구,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,353742
48,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,347969
49,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,341004
50,경상남도,김해시,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,340202
51,서울특별시,용산구,용산역,서울 용산구 한강대로23길 55-0,기타관광,교통시설,338800
52,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,333756
53,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,331188
54,인천광역시,미추홀구,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,320522
55,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,317280
56,충청남도,보령시,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),316589
57,경기도,구리시,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,313176
58,부산광역시,부산진구,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,309194
59,경기도,의왕시,롯데프리미엄아울렛타임빌라스,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰,306421
60,울산광역시,울주군,울산역,울산 울주군 울산역로 177-0,기타관광,교통시설,302015
61,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,301970
62,제주특별자치도,제주시,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,301550
63,경기도,화성시,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점,296388
64,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,284435
65,전북특별자치도,전주시 완산구,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,278957
66,경기도,부천시,스타필드시티부천,경기 부천시 옥길로 1-0,쇼핑,쇼핑몰,278862
67,서울특별시,중구,신세계백화점본점신관,서울 중구 퇴계로 77-0,쇼핑,백화점,277310
